instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,minor_faults,page_faults,thread,seconds,workload,class,app,dwarfs,power,MIPS,instructions_per_cycle,instructions_per_loads,instructions_per_stores,instructions_per_branches,instruction_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
18212266835,7982260718,2,132783697,583595,258,16274229,63124,3052866499,5037493825,113294630,19277309,910,13408904,1418,1418,2,1.59,W,CPU,bt,DLA,324,11454.2558710692,2.28159258115077,1358.22188263858,944.751512516607,137.157401446655,288515.72832837,0.736256728582024,1.05847938505674,44.46365926611,6.22078684803105,0.004395080218319,0.03204406158153,0.003466015547207
18133127064,8009869441,2,134898218,580245,258,16626645,2053,3071274241,5031033767,108393207,18387029,928,13444067,1420,1420,2,1.58,W,CPU,bt,DLA,324,11476.6626987342,2.26384801869332,1348.78285447402,986.191247318966,134.420805054667,8832502.22308817,0.741409187315007,1.014002104276,46.414659241515,5.97763455897217,0.00430135407719,0.031999169142314,0.000113218199638
18218753043,7993962904,2,132316633,599675,259,16889879,11263,3055653857,5034581671,111340819,18845036,923,13375299,1418,1418,2,1.59,W,CPU,bt,DLA,324,11458.3352471698,2.27906399639205,1362.11930985618,966.766688214339,137.690573210097,1617575.51655864,0.73415007977942,1.03437573117775,45.2177531674165,6.11133038233807,0.0045321210675,0.032915260368514,0.000618209159179
17690391314,7777770461,2,126630274,586242,257,16571570,2024,3062479549,5049964132,113637139,19304572,5243,13557553,1418,1418,2,1.58,W,CPU,bt,DLA,324,11196.4501987342,2.27448102289785,1304.83659654511,916.383503037519,139.701121660686,8740311.91403162,0.766379485866471,1.09124618315947,44.4393811428146,6.42366451838003,0.004629556436086,0.033139006910269,0.000114412392811
18202149164,7984485085,2,130465996,601008,256,16204506,2700,3066524040,5030542278,113122453,20526169,835,14489719,1417,1417,2,1.59,W,CPU,bt,DLA,324,11447.8925559748,2.27968979467384,1256.21132915,886.777711125734,139.516423605121,6741536.72740741,0.796044404946291,1.12767832056867,44.4698832512057,6.21478551685162,0.004606625622204,0.033018518559812,0.000148334132177
18182476829,7999219542,2,132484682,588869,254,16496765,1309,3072201518,5032514610,110853696,19222156,962,13905253,1422,1422,2,1.59,W,CPU,bt,DLA,324,11435.520018239,2.27303135431309,1307.59769915729,945.912457946965,137.242106442162,13890356.6302521,0.764761211070096,1.05718028301523,45.3978062219955,6.09673242224045,0.004444808192995,0.032386621775356,7.19923920327631E-05
18195608103,7968381220,2,132412486,575727,256,17113471,37520,3054998418,5039289565,111345947,18456869,678,13445822,1422,1422,2,1.6,W,CPU,bt,DLA,324,11372.255064375,2.28347610394574,1353.25368006508,985.844787813144,137.416105177574,484957.572041578,0.738959749181624,1.01435845922385,45.2579523617505,6.1193858633195,0.004347981201712,0.03164098703055,0.002062036057691
18207284650,7970809920,2,132284229,604400,256,17274761,36367,3060806601,5036678058,112438805,19059638,830,13728422,1419,1419,2,1.59,W,CPU,bt,DLA,324,11451.1224213837,2.28424524392623,1326.24744854143,955.279667431249,137.637606445134,500654.017378393,0.754007105611984,1.04681386414201,44.794838027672,6.17548454706012,0.004568949787658,0.033195504525712,0.001997387347926
18162238185,8001190593,2,134647031,595513,259,17009856,24706,3059521219,5026023747,109857809,18384006,316,14136200,1420,1420,2,1.59,W,CPU,bt,DLA,324,11422.7913113208,2.26994195100034,1284.80342560235,987.936915653748,134.887773240243,735134.711608516,0.778329182560492,1.0122103791802,45.7502638433286,6.04869333179048,0.004422771119253,0.032788524956788,0.001360294901341
18197291977,7998046833,2,132139207,571063,253,16409928,3009,3067621813,5039317811,112116351,19209275,1241,13823246,1425,1425,2,1.59,W,CPU,bt,DLA,324,11444.8377213837,2.27521698196588,1316.4268346957,947.318000132748,137.713040589081,6047621.1289465,0.759632038518233,1.05561173741011,44.9472156920269,6.16115579953911,0.004321677214243,0.031381757281346,0.000165354273801
18192800715,7971727494,2,131592687,635789,257,16787607,2430,3056725482,5042456622,113935873,19178821,1065,13353938,1417,1417,2,1.6,W,CPU,bt,DLA,324,11370.500446875,2.28216540626771,1362.3547387295,948.588065710609,138.250849114434,7486749.2654321,0.734023211115024,1.0541983777235,44.2569709541788,6.26269010389696,0.004831491889819,0.034947285465277,0.000133569318879
18206121447,7971706894,2,131103156,608619,260,16751321,2129,3055189249,5042441258,114452506,19326256,884,13262312,1421,1421,2,1.59,W,CPU,bt,DLA,324,11450.3908471698,2.28384230492758,1372.77131219655,942.040788810828,138.868674122536,8551489.64161578,0.728453451143234,1.06152516098834,44.0570629183078,6.2864848140876,0.004642290991073,0.033429360656072,0.00011693869044
18198153826,7990124902,2,133436239,622794,258,16536455,60765,3059559068,5026238292,110409704,18955058,900,14560341,1417,1417,2,1.61,W,CPU,bt,DLA,324,11303.2011341615,2.27758064475874,1249.84393057827,960.068485467045,136.380895942368,299484.140969308,0.800099896902586,1.04159236047992,45.5235193094984,6.06708268628084,0.004667352772136,0.034222922058731,0.003339074973264
18189346493,8031433847,2,135088537,681089,260,16732631,1584,3038267257,5008485877,112678687,19054613,786,13305428,1420,1420,2,1.6,W,CPU,bt,DLA,324,11368.341558125,2.26476950934413,1367.06211126767,954.590182072971,134.647594066401,11483173.2910354,0.731495659017792,1.0475699612041,44.4492743956095,6.19476279938718,0.00504179714375,0.037444390883538,8.70839422740992E-05
18182479851,8002488056,2,133208735,644110,255,16974197,2250,3064535385,5035211212,109875692,18458453,1279,13838998,1421,1421,2,1.59,W,CPU,bt,DLA,324,11435.5219188679,2.27210334133112,1313.8581168232,985.048955673588,136.496152831119,8081102.156,0.761117191571582,1.01517797084125,45.8264345857317,6.04294314639139,0.004835343568123,0.035424760829012,0.000123745496678
18214024751,7991257176,2,133140769,589459,256,17439356,56125,3052824032,5034395684,109482126,18317650,473,13245464,1422,1422,2,1.59,W,CPU,bt,DLA,324,11455.3614786164,2.27924397248807,1375.11413348751,994.342874276995,136.802760625485,324526.053469933,0.727212364157614,1.00568931086987,45.9837223475182,6.01086950834352,0.004427336603411,0.032362918578314,0.003081416697697
18168762080,7970193519,2,132202035,574336,259,16935153,2409,3058498030,5043180910,111983819,18529852,699,13276940,1424,1424,2,1.59,W,CPU,bt,DLA,324,11426.8943899371,2.27958857419055,1368.44499410256,980.513070476764,137.431788247435,7542034.90244915,0.730756445680751,1.01987421698903,45.0349073199584,6.16353599144054,0.004344380931806,0.031611179532822,0.000132590211121
